rgb,Punch_VFR,Punch_VFL,One_VFR,One_VFL,Two_VFR,Two_VFL,Three_VFR,Three_VFL,Four_VFR,Four_VFL,Five_VFR,Five_VFL,Six_VFR,Six_VFL,Seven_VFR,Seven_VFL,Eight_VFR,Eight_VFL,Nine_VFR,Nine_VFL,Span_VFR,Span_VFL,Horiz_HBL,Horiz_HFL,Horiz_HBR,Horiz_HFR
..\Subject1\Color\4510_color.png,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[427 339 82 69],[0 0 0 0],[0 0 0 0],[278 335 78 64]
..\Subject1\Color\2064_color.png,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[341 263 46 77],[538 264 42 78],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0]
..\Subject1\Color\816_color.png,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[367 266 45 84],[517 264 41 85],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0]
..\Subject1\Color\1756_color.png,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[324 261 71 79],[532 259 63 78],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0]
..\Subject1\Color\3949_color.png,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[351 275 75 61],[498 264 71 66],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0]
..\Subject1\Color\3791_color.png,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0]
..\Subject1\Color\4352_color.png,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[612 325 81 62],[444 340 87 71],[0 0 0 0]
..\Subject1\Color\3789_color.png,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0]
..\Subject1\Color\3737_color.png,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0]
..\Subject1\Color\1040_color.png,[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[379 263 68 82],[478 261 59 79],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0],[0 0 0 0]
